gene,species,genus,family,order,class,phylum,kingdom
YP_717936.1,,Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
YP_717936.1,,Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
YP_717937.1,,Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
YP_717937.1,,Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
YP_717938.1,,Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
YP_717939.1,,Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
YP_717939.1,,Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
YP_717940.1,,Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
YP_717941.1,,Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
YP_717941.1,,Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
YP_717941.1,,Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_056793.1,Rabies lyssavirus, Lyssavirus, Rhabdoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056794.1,Rabies lyssavirus, Lyssavirus, Rhabdoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056795.1,Rabies lyssavirus, Lyssavirus, Rhabdoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056796.1,Rabies lyssavirus, Lyssavirus, Rhabdoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056796.1,,Lyssavirus, Rhabdoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056797.1,Rabies lyssavirus, Lyssavirus, Rhabdoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_041844.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041844.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041844.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041844.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041844.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041844.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041844.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041845.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041846.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041846.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041847.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041847.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041848.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_041848.1,Alphapapillomavirus 6, Alphapapillomavirus, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_077804.1,Hepatitis delta virus, Deltavirus, Kolmioviridae,,,,
NP_043508.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043508.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043509.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043509.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043510.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043510.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043511.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043512.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043512.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043513.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_043513.1,Human polyomavirus 2, Betapolyomavirus, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae
NP_056856.1,,Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056856.1, Human respiratory syncytial virus, Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056857.1,,Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056857.1, Human respiratory syncytial virus, Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056858.1,,Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056858.1, Human respiratory syncytial virus, Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056859.1,,Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056859.1, Human respiratory syncytial virus, Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056860.1,,Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056860.1, Human respiratory syncytial virus, Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056861.1,,Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056861.1, Human respiratory syncytial virus, Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056862.1, Human respiratory syncytial virus, Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056863.1,,Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056863.1, Human respiratory syncytial virus, Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056864.1,,Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056864.1, Human respiratory syncytial virus, Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_056866.1, Human respiratory syncytial virus, Orthopneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_054707.1,,Orthorubulavirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_054708.1,,Orthorubulavirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_054709.1,,Orthorubulavirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_054710.1,,Orthorubulavirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_054711.1,,Orthorubulavirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_054712.1,,Orthorubulavirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_054713.1,,Orthorubulavirus, Paramyxoviridae, Mononegavirales, Monjiviricetes, Negarnaviricota, Orthornavirae
NP_150074.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150075.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150076.1,Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150076.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150076.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150077.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150078.1,Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150078.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150079.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150080.1,Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150080.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150080.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150080.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150080.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150081.1,Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150081.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150081.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150081.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150081.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150081.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150081.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150081.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150081.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150082.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150083.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_150084.1, Betacoronavirus 1, Betacoronavirus, Coronaviridae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae
YP_009173857.1,,Orthohepadnavirus, Hepadnaviridae, Blubervirales, Revtraviricetes, Artverviricota, Pararnavirae
YP_009173857.1, Hepatitis B virus, Orthohepadnavirus, Hepadnaviridae, Blubervirales, Revtraviricetes, Artverviricota, Pararnavirae
YP_009173866.1,,Orthohepadnavirus, Hepadnaviridae, Blubervirales, Revtraviricetes, Artverviricota, Pararnavirae
YP_009173867.1,,Orthohepadnavirus, Hepadnaviridae, Blubervirales, Revtraviricetes, Artverviricota, Pararnavirae
YP_009173869.1,,Orthohepadnavirus, Hepadnaviridae, Blubervirales, Revtraviricetes, Artverviricota, Pararnavirae
YP_009173870.1,,Orthohepadnavirus, Hepadnaviridae, Blubervirales, Revtraviricetes, Artverviricota, Pararnavirae
YP_009173871.1,,Orthohepadnavirus, Hepadnaviridae, Blubervirales, Revtraviricetes, Artverviricota, Pararnavirae
YP_009173871.1,,Orthohepadnavirus, Hepadnaviridae, Blubervirales, Revtraviricetes, Artverviricota, Pararnavirae
YP_009173871.1,,Orthohepadnavirus, Hepadnaviridae, Blubervirales, Revtraviricetes, Artverviricota, Pararnavirae
YP_009173871.1,,Orthohepadnavirus, Hepadnaviridae, Blubervirales, Revtraviricetes, Artverviricota, Pararnavirae
NP_690588.1,Chikungunya virus, Alphavirus, Togaviridae, Martellivirales, Alsuviricetes, Kitrinoviricota, Orthornavirae
NP_690588.1,,Alphavirus, Togaviridae, Martellivirales, Alsuviricetes, Kitrinoviricota, Orthornavirae
NP_690589.2,Chikungunya virus, Alphavirus, Togaviridae, Martellivirales, Alsuviricetes, Kitrinoviricota, Orthornavirae
NP_694869.1,,Mammarenavirus, Arenaviridae, Bunyavirales, Ellioviricetes, Negarnaviricota, Orthornavirae
NP_694869.1,Lassa virus, Mammarenavirus, Arenaviridae, Bunyavirales, Ellioviricetes, Negarnaviricota, Orthornavirae
NP_694869.1,Lassa virus, Mammarenavirus, Arenaviridae, Bunyavirales, Ellioviricetes, Negarnaviricota, Orthornavirae
NP_694870.1,,Mammarenavirus, Arenaviridae, Bunyavirales, Ellioviricetes, Negarnaviricota, Orthornavirae
NP_694870.1,Lassa virus, Mammarenavirus, Arenaviridae, Bunyavirales, Ellioviricetes, Negarnaviricota, Orthornavirae
NP_694870.1,Lassa virus, Mammarenavirus, Arenaviridae, Bunyavirales, Ellioviricetes, Negarnaviricota, Orthornavirae
NP_694871.1,,Mammarenavirus, Arenaviridae, Bunyavirales, Ellioviricetes, Negarnaviricota, Orthornavirae
NP_694871.1,Lassa virus, Mammarenavirus, Arenaviridae, Bunyavirales, Ellioviricetes, Negarnaviricota, Orthornavirae
NP_694871.1,Lassa virus, Mammarenavirus, Arenaviridae, Bunyavirales, Ellioviricetes, Negarnaviricota, Orthornavirae
NP_694872.1,Lassa virus, Mammarenavirus, Arenaviridae, Bunyavirales, Ellioviricetes, Negarnaviricota, Orthornavirae
NP_758520.1,Enterovirus G, Enterovirus, Picornaviridae, Picornavirales, Pisoniviricetes, Pisuviricota, Orthornavirae
NP_758886.1, Simian immunodeficiency virus, Lentivirus, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae
NP_758887.1, Simian immunodeficiency virus, Lentivirus, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae
NP_758888.1, Simian immunodeficiency virus, Lentivirus, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae
NP_758889.1, Simian immunodeficiency virus, Lentivirus, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae
NP_758890.1, Simian immunodeficiency virus, Lentivirus, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae
NP_758891.1, Simian immunodeficiency virus, Lentivirus, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae
NP_758892.1, Simian immunodeficiency virus, Lentivirus, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae
NP_758893.1, Simian immunodeficiency virus, Lentivirus, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae
NP_937956.1,,Circovirus, Circoviridae, Cirlivirales, Arfiviricetes, Cressdnaviricota, Shotokuvirae
NP_937957.1,,Circovirus, Circoviridae, Cirlivirales, Arfiviricetes, Cressdnaviricota, Shotokuvirae
NP_950237.1,,Orthonairovirus, Nairoviridae, Bunyavirales, Ellioviricetes, Negarnaviricota, Orthornavirae
YP_002802310.2,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_002802310.2,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_004940329.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_004940329.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_004940329.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_004940330.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_004940330.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_004940331.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_004940331.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_004940332.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_004940332.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_004940332.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_007947989.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_007947989.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_007947989.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081455.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081455.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081456.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081456.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081456.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081456.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081457.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081457.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081458.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081458.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081459.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081459.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081460.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081460.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081461.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081461.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081462.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081462.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
